first name,chinese, gender,pinyin
August,奥古斯特,m,ào gǔ sī tè
August,奥格斯格,m,ào gé sī gé
Augustine,奥古斯汀,m,ào gǔ sī tīng
Aurora,奥劳拉,f,ào láo lā
Austin,奥斯汀,m,ào sī tīng
Avery,艾富里,m,ài fù lǐ
Baird,拜尔德,m,bài ěr dé
Baldwin,柏得温,m,bǎi dé wēn
Barbara,笆笆拉,f,bā bā lā
Barbara,芭芭拉,f,bā bā lā
Bard,巴德,m,bā dé
Barlow,巴罗,m,bā luō
Barnett,巴奈特,m,bā nài tè
Baron,巴伦,m,bā lún
Barret,巴里特,m,bā lǐ tè
Barry,巴利,m,bā lì
Barry,巴里,m,bā lǐ
Bart,巴特,m,bā tè
Bartholomew,巴萨罗穆,m,bā sà luō mù
Barton,巴顿,m,bā dùn
Basil,巴泽尔,m,bā zé ěr
Bblythe,布莱兹,f,bù lái zī
Beacher,比其尔,m,bǐ qí ěr
Beatrice,碧翠丝,f,bì cuì sī
Beau,宝儿,m,bǎo ér
Beck,贝克,m,bèi kè
Becky,贝基,f,bèi jī
Belinda,贝琳达,f,bèi lín dá
Bella,贝拉,f,bèi lā
Belle,贝拉,f,bèi lā
Ben,本,m,běn
Ben,班,m,bān
Benedict,班尼迪克,m,bān ní dí kè
Benjamin,本杰明,m,běn jié míng
Benjamin,班杰明,m,bān jié míng
Bennett,班奈特,m,bān nài tè
Benny,本尼,m,běn ní
Benson,班森,m,bān sēn
Berg,柏格,m,bǎi gé
Bernard,伯纳,m,bó nà
Bernard,伯纳德,m,bó nà dé
Bernice,柏妮丝,f,bǎi nī sī
Bernie,伯尼,m,bó ní
Bernie,贝尔尼,m,bèi ěr ní
Bert,伯特,m,bó tè
Bertha,柏莎,f,bǎi shā
Berton,伯顿,m,bó dùn
Bertram,伯特莱姆,m,bó tè lái mǔ
Beryl,百丽儿,f,bǎi lì ér
Bess,贝丝,f,bèi sī
Betsy,贝琪,f,bèi qí
Betsy,贝齐,f,bèi qí
Betty,贝蒂,f,bèi dì
Beverly,贝弗利,f,bèi fú lì
Bevis,毕维斯,m,bì wéi sī
Beyonce,碧昂斯,f,bì áng sī
Bianca,碧昂卡,f,bì áng kǎ
Bill,比尔,m,bǐ ěr
Billo,比卢,m,bǐ lú
Billy,比利,m,bǐ lì
Bing,宾,m,bīn
Birger,比尔格,m,bǐ ěr gé
Bishop,毕夏普,m,bì xià pǔ
Blair,布雷尔,m,bù léi ěr
Blake,布莱克,m,bù lái kè
Blanche,布兰琪,f,bù lán qí
Blithe,布莱兹,m,bù lái zī
Bob,鲍伯,m,bào bó
Bob,鲍步,m,bào bù
Bobby,鲍比,m,bào bǐ
Bonnie,邦妮,f,bāng nī
Booba,布巴,m,bù bā
Booth,布兹,m,bù zī
Borg,柏格,m,bǎi gé
Boris,伯里斯,m,bó lǐ sī
Boris,鲍里斯,m,bào lǐ sī
Bowen,波文,m,bō wén
Boyce,柏宜斯,m,bǎi yí sī
Boyd,布德,m,bù dé
Brad,布拉德,m,bù lā dé
Bradley,布兰得利,m,bù lán dé lì
Brady,布莱迪,m,bù lái dí
Brandan,布兰丹,m,bù lán dān
Brandon,布兰登,m,bù lán dēng
Brandon,布阑登,m,bù lán dēng
Brenda,布兰达,f,bù lán dá
Brendan,布兰丹,m,bù lán dān
Brendon,布兰登,m,bù lán dēng
Brent,布兰特,m,bù lán tè
Brett,布雷特,m,bù léi tè
Brian,布莱恩,m,bù lái ēn
Bridget,布里吉特,f,bù lǐ jí tè
Bridget,布里奇特,f,bù lǐ qí tè
Bridie,布里迪,m,bù lǐ dí
Brittany,布里塔尼,f,bù lǐ tǎ ní
Broderick,布拉得里克,m,bù lā dé lǐ kè
Brook,布鲁克,m,bù lǔ kè
Brooke,布鲁克,f,bù lǔ kè
Bruce,布鲁斯,m,bù lǔ sī
Bruno,布鲁诺,m,bù lǔ nuò
Bryan,布莱恩,m,bù lái ēn
Buck,巴克,m,bā kè
Burgess,伯骑士,m,bó qí shì
Burke,巴尔克,m,bā ěr kè
Burnell,布尼尔,m,bù ní ěr
Burton,波顿,m,bō dùn
Byron,拜伦,m,bài lún
Caden,卡登,m,kǎ dēng
Caesar,凯撒,m,kǎi sā
Caitlin,凯特琳,f,kǎi tè lín
Calvin,卡尔文,m,kǎ ěr wén
Cameron,卡梅隆,f,kǎ méi lóng
Cameron,卡梅隆,m,kǎ méi lóng
Camille,卡米拉,f,kǎ mǐ lā
Candace,坎迪斯,f,kǎn dí sī
Candice,坎蒂丝,f,kǎn dì sī
Cara,卡拉,f,kǎ lā
Carey,凯里,m,kǎi lǐ
Carl,卡尔,m,kǎ ěr
Carlone,卡尔伦,m,kǎ ěr lún
Carlos,卡洛斯,m,kǎ luò sī
Carmen,卡门,f,kǎ mén
Carol,卡萝,f,kǎ luó
Carol,卡罗尔,f,kǎ luō ěr
Caroline,卡罗琳,f,kǎ luō lín
Carr,凯尔,m,kǎi ěr
Carrie,凯莉,f,kǎi lì
Carter,卡特,m,kǎ tè
Casey,凯西,m,kǎi xī
Cash,凯希,m,kǎi xī
Casper,卡斯派,m,kǎ sī pài
Cassandra,卡桑德拉,f,kǎ sāng dé lā
Cassey,凯西,m,kǎi xī
Cassidy,卡希蒂,m,kǎ xī dì
Catherine,凯瑟琳,f,kǎi sè lín
Cathy,凯丝,f,kǎi sī
Cathy,凯西,f,kǎi xī
Cecil,塞西尔,m,sāi xī ěr
Cecile,赛茜儿,f,sài qiàn ér
Cecilia,塞西莉亚,f,sāi xī lì yà
Cedric,塞德里克,m,sāi dé lǐ kè
Cedric,赛得里克,m,sài dé lǐ kè
Celeste,西莱斯特,f,xī lái sī tè
Cesar,西泽,m,xī zé
Chad,查德,m,chá dé
Channing,强尼,m,qiáng ní
Chapman,契布曼,m,qì bù màn
Charles,查理斯,m,chá lǐ sī
Charles,查而斯,m,chá ér sī
Charley,查利,m,chá lì
Charlie,查利,m,chá lì
Charlotte,夏洛特,f,xià luò tè
Charlotte,夏绿蒂,f,xià lǜ dì
Charly,查利,m,chá lì
Chase,蔡斯,m,cài sī
Chasel,夏佐,m,xià zuǒ
Chelsea,切尔西,f,qiè ěr xī
Cherry,绮莉,f,qǐ lì
Cheryl,谢丽尔,f,xiè lì ěr
Cheryl,谢里尔,f,xiè lǐ ěr
Chester,贾斯特,m,jiǎ sī tè
Chico,奇科,m,qí kē
Chloe,克洛怡,f,kè luò yí
Chris,克里斯,m,kè lǐ sī
Christ,基督,m,jī dū
Christ,克莱斯特,m,kè lái sī tè
Christian,克里斯汀,m,kè lǐ sī tīng
Christian,克里斯蒂安,m,kè lǐ sī dì ān
Christina,克里斯蒂娜,f,kè lǐ sī dì nà
Christine,克莉斯婷,f,kè lì sī tíng
Christine,克里斯廷,f,kè lǐ sī tíng
Christo,克来斯多,m,kè lái sī duō
Christopher,克来斯多夫,m,kè lái sī duō fū
Christopher,克里斯多夫,m,kè lǐ sī duō fū
Christy,克里斯蒂,f,kè lǐ sī dì
Cindy,辛迪,f,xīn dí
Claire,克莱儿,f,kè lái ér
Claire,克莱尔,f,kè lái ěr
Clara,克莱拉,f,kè lái lā
Clare,克拉尔,m,kè lā ěr
Clarence,克拉伦斯,m,kè lā lún sī
Clark,克拉克,m,kè lā kè
Claude,克劳德,m,kè láo dé
Claudia,克劳迪娅,f,kè láo dí yà
Claudy,克劳迪,m,kè láo dí
Clement,克雷孟特,m,kè léi mèng tè
Cleveland,克利夫兰,m,kè lì fū lán
Cliff,柯利弗,m,kē lì fú
Clyde,克莱得,m,kè lái dé
Colbert,考伯特,m,kǎo bó tè
Colby,考尔比,m,kǎo ěr bǐ
Colin,科林,m,kē lín
Colin,科琳,m,kē lín
Connor,康纳,m,kāng nà
Conrad,康拉德,m,kāng lā dé
Constance,康斯坦丝,f,kāng sī tǎn sī
Constance,康斯坦斯,f,kāng sī tǎn sī
Constantin,康斯坦丁,m,kāng sī tǎn dīng
Cooper,库珀,m,kù pò
Cora,科拉,f,kē lā
Coral,卡洛儿,f,kǎ luò ér
Corentin,科朗汀,m,kē lǎng tīng
Corey,克里,m,kè lǐ
Corey,康里,m,kāng lǐ
Cornelia,可妮莉雅,f,kě nī lì yǎ
Cornelius,康那理惟士,m,kāng nà lǐ wéi shì
Cornell,康奈尔,m,kāng nài ěr
Cory,克里,m,kè lǐ
Courtney,考特尼,f,kǎo tè ní
Craig,克雷格,m,kè léi gé
Cristian,克里斯蒂安,m,kè lǐ sī dì ān
Crystal,克莉斯多,f,kè lì sī duō
Curitis,柯帝士,m,kē dì shì
Curtis,柯蒂斯,m,kē dì sī
Cynthia,辛西亚,f,xīn xī yà
Cynthia,辛西娅,f,xīn xī yà
Cyril,西瑞尔,m,xī ruì ěr
Cyril,西里尔,m,xī lǐ ěr
Daisy,戴西,f,dài xī
Daisy,黛西,f,dài xī
Dale,黛儿,f,dài ér
Dalila,达利拉,f,dá lì lā
Damien,达米恩,m,dá mǐ ēn
Damon,戴蒙,m,dài méng
Dan,丹,m,dān
Dana,丹娜,f,dān nà
Dana,黛娜,f,dài nà
Dana,戴纳,m,dài nà
Daniel,丹尼尔,m,dān ní ěr
Daniela,丹涅拉,f,dān niè lā
Danielle,丹妮尔,f,dān nī ěr
Danny,丹尼,m,dān ní
Dany,丹尼,m,dān ní
Daphne,达芙妮,f,dá fú nī
Daphne,黛芙妮,f,dài fú nī
Darcie,达尔西,m,dá ěr xī
Darcy,达尔西,m,dá ěr xī
Darian,达里安,m,dá lǐ ān
Darlene,达莲娜,f,dá lián nà
Darnell,达尼尔,m,dá ní ěr
Darrell,达瑞尔,m,dá ruì ěr
Darren,达伦,m,dá lún
Daryl,达里尔,m,dá lǐ ěr
Dave,戴夫,m,dài fū
Dave,迪夫,m,dí fū
David,大卫,m,dà wèi
Davy,大卫,m,dà wèi
Dawn,潼恩,f,tóng ēn
Dean,迪恩,m,dí ēn
Debby,黛碧,f,dài bì
Deborah,德博拉,f,dé bó lā
Deborah,黛博拉,f,dài bó lā
Deirdre,迪得莉,f,dí dé lì
Delia,迪丽雅,f,dí lì yǎ
Dempsey,邓普斯,m,dèng pǔ sī
Denise,丹妮丝,f,dān nī sī
Denise,丹尼丝,f,dān ní sī
Dennis,丹尼斯,m,dān ní sī
Derek,德里克,m,dé lǐ kè
Derrick,戴里克,m,dài lǐ kè
Destiny,黛丝蒂妮,f,dài sī dì nī
Devin,得文,m,dé wén
Devis,德维斯,m,dé wéi sī
Diana,黛安娜,f,dài ān nà
Diane,黛安,f,dài ān
Dick,狄克,m,dí kè
Dimitri,迪米特里,m,dí mǐ tè lǐ
Dina,迪娜,f,dí nà
Dinah,黛娜,f,dài nà
Dolores,多洛雷斯,f,duō luò léi sī
Dominic,多明尼卡,f,duō míng ní kǎ
Dominic,多明尼克,m,duō míng ní kè
Don,唐,m,táng
Donahue,唐纳修,m,táng nà xiū
Donald,唐纳德,m,táng nà dé
Donna,唐娜,f,táng nà
Donovan,多诺万,m,duō nuò wàn
Dora,多拉,f,duō lā
Doreen,多琳,f,duō lín
Dorian,多里安,f,duō lǐ ān
Doris,多莉丝,f,duō lì sī
Dorothy,桃乐斯,f,táo lè sī
Douglas,道格拉斯,m,dào gé lā sī
Drew,杜鲁,m,dù lǔ
Duke,杜克,m,dù kè
Duncan,邓肯,m,dèng kěn
Dunn,唐恩,m,táng ēn
Dwight,德维特,m,dé wéi tè
Dylan,狄伦,m,dí lún
Dylan,迪伦,m,dí lún
Earl,俄尔,m,é ěr
Eartha,尔莎,f,ěr shā
Ed,艾德,m,ài dé
Eddy,艾迪,m,ài dí
Eden,伊甸,f,yī diān
Eden,伊甸,m,yī diān
Edgar,爱德格,m,ài dé gé
Edison,埃迪森,m,āi dí sēn
Edison,爱迪生,m,ài dí shēng
Edith,伊迪丝,f,yī dí sī
Edmond,埃德蒙,m,āi dé méng
Edmund,艾德蒙,m,ài dé méng
Edna,艾德娜,f,ài dé nà
Edward,爱德华,m,ài dé huá
Edwiin,爱德温,m,ài dé wēn
Edwina,艾德文娜,f,ài dé wén nà
Egbert,爱格伯特,m,ài gé bó tè
Eileen,艾琳,f,ài lín
Elaine,伊莲恩,f,yī lián ēn
Eleanore,艾琳诺,f,ài lín nuò
Elena,伊莲娜,f,yī lián nà
Eli,伊莱,m,yī lái
Elian,伊良,m,yī liáng
Elias,埃利亚斯,m,āi lì yà sī
Elie,伊利,m,yī lì
Elijah,易莱哲,m,yì lái zhé
Elio,埃利奥,m,āi lì ào
Eliott,艾略特,m,ài lüè tè
Elisa,爱丽莎,f,ài lì shā
Elisabeth,伊丽莎白,f,yī lì shā bái
Elise,爱丽丝,f,ài lì sī
Elizabeth,伊丽莎白,f,yī lì shā bái
Ella,埃拉,f,āi lā
Ella,艾拉,f,ài lā
Elle,艾莉,f,ài lì
Ellen,艾伦,f,ài lún
Elliot,艾略特,m,ài lüè tè
Elliot,伊里亚德,m,yī lǐ yà dé
Elliott,艾略特,m,ài lüè tè
Ellis,艾理斯,m,ài lǐ sī
Elma,艾尔玛,f,ài ěr mǎ
Elmer,爱尔玛,m,ài ěr mǎ
Eloise,艾萝依,f,ài luó yī
Elora,伊劳拉,f,yī láo lā
Elroy,爱罗伊,m,ài luō yī
Elsa,爱尔莎,f,ài ěr shā
Elsa,艾尔莎,f,ài ěr shā
Elsie,艾西,f,ài xī
Elton,埃尔顿,m,āi ěr dùn
Elton,爱尔顿,m,ài ěr dùn
Elva,艾娃,f,ài wá
Elvin,埃尔温,m,āi ěr wēn
Elvira,埃尔韦拉,f,āi ěr wéi lā
Elvis,艾维斯,m,ài wéi sī
Elvis,埃尔维斯,m,āi ěr wéi sī
Elyse,艾丽丝,f,ài lì sī
Emer,尹美尔,m,yǐn měi ěr
Emerick,埃默里克,m,āi mò lǐ kè
Emily,埃米莉,f,āi mǐ lì
Emily,艾米莉,f,ài mǐ lì
Emma,埃玛,f,āi mǎ
Emma,艾玛,f,ài mǎ
Emmanuel,艾曼纽,m,ài màn niǔ
Enid,伊妮德,f,yī nī dé
Enoch,伊诺克,m,yī nuò kè
Enzo,恩佐,m,ēn zuǒ
Erasmo,埃拉斯莫,m,āi lā sī mò
Eric,艾利克,m,ài lì kè
Eric,艾里克,m,ài lǐ kè
Erica,艾丽卡,f,ài lì kǎ
Erika,艾丽卡,f,ài lì kǎ
Erin,艾琳,f,ài lín
Ernest,欧尼斯特,m,ōu ní sī tè
Erwan,艾万,m,ài wàn
Erwann,艾万,m,ài wàn
Erwin,埃尔温,m,āi ěr wēn
Esther,艾丝特,f,ài sī tè
Ethan,伊桑,m,yī sāng
Ethel,艾瑟儿,f,ài sè ér
Eudora,尤多拉,f,yóu duō lā
Eugene,尤金,m,yóu jīn
Eunice,尤妮斯,f,yóu nī sī
Evan,伊万,m,yī wàn
Evan,尔文,m,ěr wén
Evangeline,伊文捷琳,f,yī wén jié lín
Evans,埃文斯,m,āi wén sī
Eve,伊夫,f,yī fū
Eve,伊芙,f,yī fú
Eveline,艾维琳,f,ài wéi lín
Evelyn,伊夫林,f,yī fū lín
Evelyn,艾芙琳,f,ài fú lín
Evens,伊文斯,m,yī wén sī
Everley,伊夫力,m,yī fū lì
Fabian,富宾恩,m,fù bīn ēn
Faithe,费滋,f,fèi zī
Fanny,梵妮,f,fàn nī
Fay,费怡,f,fèi yí
Felicia,菲莉西亚,f,fēi lì xī yà
Felix,菲力克斯,m,fēi lì kè sī
Felix,费利克斯,m,fèi lì kè sī
Ferdinand,斐迪南,m,fěi dí nán
Filipa,菲莉帕,f,fēi lì pà
Fiona,菲奥娜,f,fēi ào nà
Fitch,费奇,m,fèi qí
Flavio,弗拉维奥,m,fú lā wéi ào
Flora,弗罗拉,f,fú luō lā
Florence,弗罗伦丝,f,fú luō lún sī
Ford,福特,m,fú tè
Forest,佛雷斯特,m,fú léi sī tè
Fox,福克斯,m,fú kè sī
Frances,弗朗西斯,f,fú lǎng xī sī
Francis,弗朗西斯,m,fú lǎng xī sī
Francis,法兰西斯,m,fǎ lán xī sī
Franck,富兰克,m,fù lán kè
Frank,弗兰克,m,fú lán kè
Frank,法兰克,m,fǎ lán kè
Frankie,弗兰克,f,fú lán kè
Frankie,弗兰克,m,fú lán kè
Franklin,富兰克林,m,fù lán kè lín
Franklin,法兰克林,m,fǎ lán kè lín
Franky,弗兰克,m,fú lán kè
Freda,弗莉达,f,fú lì dá
Frederic,弗雷得力克,m,fú léi dé lì kè
Frederic,弗雷德里克,m,fú léi dé lǐ kè
Frederica,菲蕾德翠卡,f,fēi lěi dé cuì kǎ
Friday,弗莱达,m,fú lái dá
Gabriel,加布力尔,m,jiā bù lì ěr
Gabriel,加布里埃尔,m,jiā bù lǐ āi ěr
Gabrielle,嘉比里拉,f,jiā bǐ lǐ lā
Gaby,加比,m,jiā bǐ
Gael,盖尔,m,gài ěr
Gail,盖尔,f,gài ěr
Gail,盖尔,m,gài ěr
Gale,加尔,m,jiā ěr
Gally,加里,m,jiā lǐ
Garry,加里,m,jiā lǐ
Gary,加里,m,jiā lǐ
Gary,盖理,m,gài lǐ
Gaspard,加斯帕德,m,jiā sī pà dé
Gautier,戈蒂耶,m,gē dì yé
Gavin,盖文,m,gài wén
Gavin,贾文,m,jiǎ wén
Gaye,盖伊,m,gài yī
Gaylord,格劳德,m,gé láo dé
Gemini,杰米尼,m,jié mǐ ní
Gemma,姬玛,f,jī mǎ
Gene,吉恩,m,jí ēn
Genevieve,珍妮芙,f,zhēn nī fú
Geoffrey,乔弗瑞,m,qiáo fú ruì
Geoffrey,杰佛理,m,jié fú lǐ
George,乔治,m,qiáo zhì
Georges,乔治斯,m,qiáo zhì sī
Georgia,乔治亚,f,qiáo zhì yà
Georgina,乔姬娜,f,qiáo jī nà
Gerald,吉罗德,m,jí luō dé
Geraldine,杰拉尔丁,f,jié lā ěr dīng
Gilbert,吉伯特,m,jí bó tè
Gilbert,吉尔伯特,m,jí ěr bó tè
Gilberto,吉尔贝托,m,jí ěr bèi tuō
Giles,吉艾斯,m,jí ài sī
Gill,姬儿,f,jī ér
Gillian,吉利安,m,jí lì ān
Gina,吉娜,f,jí nà
Ginger,金蔗尔,f,jīn zhè ěr
Gisele,吉赛尔,f,jí sài ěr
Gladys,格拉迪斯,f,gé lā dí sī
Glenn,格伦,m,gé lún
Glenn,葛兰,m,gé lán
Gloria,葛罗瑞亚,f,gé luō ruì yà
Godfery,高德佛里,m,gāo dé fú lǐ
Gordon,戈登,m,gē dēng
Grace,格蕾丝,f,gé lěi sī
Grace,葛瑞丝,f,gé ruì sī
Graham,格雷厄姆,m,gé léi è mǔ
Greg,葛列格,m,gé liè gé
Gregary,葛列格里,m,gé liè gé lǐ
Gregory,格雷戈里,m,gé léi gē lǐ
Griffith,葛里菲兹,m,gé lǐ fēi zī
Griselda,葛莉谢尔达,f,gé lì xiè ěr dá
Grover,格罗佛,m,gé luō fú
Gus,古斯,m,gǔ sī
Gustave,古斯塔夫,m,gǔ sī tǎ fū
Gustave,葛佳丝塔芙,f,gé jiā sī tǎ fú
Guy,盖,m,gài
Gwendolyn,关德琳,f,guān dé lín
Gwendolyn,沽雯都琳,f,gū wén dōu lín
Gypsy,吉普赛,m,jí pǔ sài
Hadrien,阿德里安,m,ā dé lǐ ān
Hale,霍尔,m,huò ěr
Haley,哈利,m,hā lì
Hamiltion,汉米敦,m,hàn mǐ dūn
Hannah,汉娜,f,hàn nà
Hannah,汉纳,f,hàn nà
Hans,汉斯,m,hàn sī
Hardy,哈帝,m,hā dì
Harlan,哈伦,m,hā lún
Harley,哈利,m,hā lì
Harold,哈乐德,m,hā lè dé
Harold,阿豪德,m,ā háo dé
Harriet,哈莉特,f,hā lì tè
Harrison,哈里森,m,hā lǐ sēn
Harry,哈利,m,hā lì
Harry,哈里,m,hā lǐ
Harvey,哈威,m,hā wēi
Hassan,哈桑,m,hā sāng
Hayden,海登,m,hǎi dēng
Hayley,海莉,f,hǎi lì
Hazel,海柔尔,f,hǎi róu ěr
Heather,希瑟,f,xī sè
Hedda,赫达,f,hè dá
Hedy,赫蒂,f,hè dì
Heidi,海蒂,f,hǎi dì
Heidy,海蒂,f,hǎi dì
Helen,海伦,f,hǎi lún
Heloise,海洛伊丝,f,hǎi luò yī sī
Henri,亨利,m,hēng lì
Henry,亨利,m,hēng lì
Henry,享利,m,xiǎng lì
Herbert,赫伯特,m,hè bó tè
Herman,赫尔曼,m,hè ěr màn
Hermosa,何蒙莎,f,hé méng shā
Hilary,希拉里,m,xī lā lǐ
Hilary,希拉瑞莉,f,xī lā ruì lì
Hilda,希尔达,f,xī ěr dá
Hiram,海勒,m,hǎi lēi
Hobart,霍伯特,m,huò bó tè
Hogan,霍根,m,huò gēn
Holly,荷莉,f,hé lì
Homer,荷马,m,hé mǎ
Honey,汉妮,f,hàn nī
Horace,哈瑞斯,m,hā ruì sī
Howar,好尔德,m,hǎo ěr dé
Howard,霍华德,m,huò huá dé
Hubert,休伯特,m,xiū bó tè
Hubery,休伯特,m,xiū bó tè
Hudson,哈德森,m,hā dé sēn
Hugh,修,m,xiū
Hugo,雨果,m,yǔ guǒ
Hulda,胡达,f,hú dá
Humphrey,韩弗理,m,hán fú lǐ
Hunter,汉特,m,hàn tè
Hyman,海曼,m,hǎi màn
Iain,伊恩,m,yī ēn
Ian,伊恩,m,yī ēn
Iana,娅娜,f,yà nà
Ianis,伊安尼斯,m,yī ān ní sī
Iban,伊邦,m,yī bāng
Ibrahim,易卜拉辛,m,yì bō lā xīn
Ida,埃达,f,āi dá
Ilan,伊兰,m,yī lán
Ilana,依拉娜,f,yī lā nà
Ilhan,伊兰,m,yī lán
Ilias,伊利亚斯,m,yī lì yà sī
Ilona,伊罗娜,f,yī luō nà
Ina,艾娜,f,ài nà
Ingemar,英格马,m,yīng gé mǎ
Ingram,英格兰姆,m,yīng gé lán mǔ
Ingrid,英格丽,f,yīng gé lì
Ira,艾勒,m,ài lēi
Irene,艾琳,f,ài lín
Irene,伊琳娜,f,yī lín nà
Irina,伊莉娜,f,yī lì nà
Iris,爱莉丝,f,ài lì sī
Irma,伊尔玛,f,yī ěr mǎ
Irma,艾尔玛,f,ài ěr mǎ
Isaac,艾萨克,m,ài sà kè
Isabel,伊莎蓓尔,f,yī shā bèi ěr
Isabell,伊萨贝,f,yī sà bèi
Isabella,伊萨贝拉,f,yī sà bèi lā
Isidore,伊西多,m,yī xī duō
Isis,伊西丝,m,yī xī sī
Ivan,伊万,m,yī wàn
Ivan,艾凡,m,ài fán
Ives,艾维斯,m,ài wéi sī
Ivy,艾薇,f,ài wēi
Jack,杰克,m,jié kè
Jackie,杰姬,f,jié jī
Jackie,杰克,m,jié kè
Jacklyn,杰奎琳,f,jié kuí lín
Jacky,杰克,m,jié kè
Jacob,雅各,m,yǎ gè
Jacob,雅各布,m,yǎ gè bù
Jacqueline,杰奎琳,f,jié kuí lín
